date,hour,day_of_week,pickup_community_area,demand,temperature,zone_name,is_holiday
2023-03-26,0,1,31,0,5.55,LOWER WEST SIDE,1
2023-03-26,0,1,65,0,5.55,WEST LAWN,1
2023-03-26,0,1,53,0,5.55,WEST PULLMAN,1
2023-03-26,0,1,34,0,5.55,ARMOUR SQUARE,1
2023-03-26,0,1,28,0,5.55,NEAR WEST SIDE,1
2023-03-26,0,1,76,0,5.55,OHARE,1
2023-03-26,0,1,27,0,5.55,EAST GARFIELD PARK,1
2023-03-26,0,1,26,0,5.55,WEST GARFIELD PARK,1
2023-03-26,0,1,44,0,5.55,CHATHAM,1
2023-03-26,0,1,12,0,5.55,FOREST GLEN,1
2023-03-26,0,1,22,0,5.55,LOGAN SQUARE,1
2023-03-26,0,1,47,0,5.55,BURNSIDE,1
2023-03-26,0,1,1,0,5.55,ROGERS PARK,1
2023-03-26,0,1,52,0,5.55,EAST SIDE,1
2023-03-26,0,1,13,0,5.55,NORTH PARK,1
2023-03-26,0,1,6,0,5.55,LAKE VIEW,1
2023-03-26,0,1,16,0,5.55,IRVING PARK,1
2023-03-26,0,1,3,0,5.55,UPTOWN,1
2023-03-26,0,1,40,0,5.55,WASHINGTON PARK,1
2023-03-26,0,1,20,0,5.55,HERMOSA,1
2023-03-26,0,1,57,0,5.55,ARCHER HEIGHTS,1
2023-03-26,0,1,54,0,5.55,RIVERDALE,1
2023-03-26,0,1,48,0,5.55,CALUMET HEIGHTS,1
2023-03-26,0,1,5,0,5.55,NORTH CENTER,1
2023-03-26,0,1,19,0,5.55,BELMONT CRAGIN,1
2023-03-26,0,1,64,0,5.55,CLEARING,1
2023-03-26,0,1,41,0,5.55,HYDE PARK,1
2023-03-26,0,1,43,0,5.55,SOUTH SHORE,1
2023-03-26,0,1,15,0,5.55,PORTAGE PARK,1
2023-03-26,0,1,37,0,5.55,FULLER PARK,1
2023-03-26,0,1,61,0,5.55,NEW CITY,1
2023-03-26,0,1,17,0,5.55,DUNNING,1
2023-03-26,0,1,9,0,5.55,EDISON PARK,1
2023-03-26,0,1,72,0,5.55,BEVERLY,1
2023-03-26,0,1,35,0,5.55,DOUGLAS,1
2023-03-26,0,1,4,0,5.55,LINCOLN SQUARE,1
2023-03-26,0,1,55,0,5.55,HEGEWISCH,1
2023-03-26,0,1,59,0,5.55,MCKINLEY PARK,1
2023-03-26,0,1,8,0,5.55,NEAR NORTH SIDE,1
2023-03-26,0,1,23,0,5.55,HUMBOLDT PARK,1
2023-03-26,0,1,39,0,5.55,KENWOOD,1
2023-03-26,0,1,49,0,5.55,ROSELAND,1
2023-03-26,0,1,7,0,5.55,LINCOLN PARK,1
2023-03-26,0,1,51,0,5.55,SOUTH DEERING,1
2023-03-26,0,1,69,0,5.55,GREATER GRAND CROSSING,1
2023-03-26,0,1,63,0,5.55,GAGE PARK,1
2023-03-26,0,1,77,0,5.55,EDGEWATER,1
2023-03-26,0,1,10,0,5.55,NORWOOD PARK,1
2023-03-26,0,1,50,0,5.55,PULLMAN,1
2023-03-26,0,1,45,0,5.55,AVALON PARK,1
2023-03-26,0,1,38,0,5.55,GRAND BOULEVARD,1
2023-03-26,0,1,25,0,5.55,AUSTIN,1
2023-03-26,0,1,73,0,5.55,WASHINGTON HEIGHTS,1
2023-03-26,0,1,24,0,5.55,WEST TOWN,1
2023-03-26,0,1,70,0,5.55,ASHBURN,1
2023-03-26,0,1,62,0,5.55,WEST ELSDON,1
2023-03-26,0,1,29,0,5.55,NORTH LAWNDALE,1
2023-03-26,0,1,21,0,5.55,AVONDALE,1
2023-03-26,0,1,32,0,5.55,LOOP,1
2023-03-26,0,1,60,0,5.55,BRIDGEPORT,1
2023-03-26,0,1,75,0,5.55,MORGAN PARK,1
2023-03-26,0,1,56,0,5.55,GARFIELD RIDGE,1
2023-03-26,0,1,58,0,5.55,BRIGHTON PARK,1
2023-03-26,0,1,33,0,5.55,NEAR SOUTH SIDE,1
2023-03-26,0,1,11,0,5.55,JEFFERSON PARK,1
2023-03-26,0,1,68,0,5.55,ENGLEWOOD,1
2023-03-26,0,1,71,0,5.55,AUBURN GRESHAM,1
2023-03-26,0,1,14,0,5.55,ALBANY PARK,1
2023-03-26,0,1,42,0,5.55,WOODLAWN,1
2023-03-26,0,1,2,0,5.55,WEST RIDGE,1
2023-03-26,0,1,30,0,5.55,SOUTH LAWNDALE,1
2023-03-26,0,1,66,0,5.55,CHICAGO LAWN,1
2023-03-26,0,1,46,0,5.55,SOUTH CHICAGO,1
2023-03-26,0,1,67,0,5.55,WEST ENGLEWOOD,1
2023-03-26,0,1,18,0,5.55,MONTCLARE,1
2023-03-26,0,1,74,0,5.55,MOUNT GREENWOOD,1
2023-03-26,0,1,36,0,5.55,OAKLAND,1
2023-03-26,1,1,31,0,4.4,LOWER WEST SIDE,1
2023-03-26,1,1,65,0,4.4,WEST LAWN,1
2023-03-26,1,1,53,0,4.4,WEST PULLMAN,1
2023-03-26,1,1,34,0,4.4,ARMOUR SQUARE,1
2023-03-26,1,1,28,0,4.4,NEAR WEST SIDE,1
2023-03-26,1,1,76,0,4.4,OHARE,1
2023-03-26,1,1,27,0,4.4,EAST GARFIELD PARK,1
2023-03-26,1,1,26,0,4.4,WEST GARFIELD PARK,1
2023-03-26,1,1,44,0,4.4,CHATHAM,1
2023-03-26,1,1,12,0,4.4,FOREST GLEN,1
2023-03-26,1,1,22,0,4.4,LOGAN SQUARE,1
2023-03-26,1,1,47,0,4.4,BURNSIDE,1
2023-03-26,1,1,1,0,4.4,ROGERS PARK,1
2023-03-26,1,1,52,0,4.4,EAST SIDE,1
2023-03-26,1,1,13,0,4.4,NORTH PARK,1
2023-03-26,1,1,6,0,4.4,LAKE VIEW,1
2023-03-26,1,1,16,0,4.4,IRVING PARK,1
2023-03-26,1,1,3,0,4.4,UPTOWN,1
2023-03-26,1,1,40,0,4.4,WASHINGTON PARK,1
2023-03-26,1,1,20,0,4.4,HERMOSA,1
2023-03-26,1,1,57,0,4.4,ARCHER HEIGHTS,1
2023-03-26,1,1,54,0,4.4,RIVERDALE,1
2023-03-26,1,1,48,0,4.4,CALUMET HEIGHTS,1
2023-03-26,1,1,5,0,4.4,NORTH CENTER,1
2023-03-26,1,1,19,0,4.4,BELMONT CRAGIN,1
2023-03-26,1,1,64,0,4.4,CLEARING,1
2023-03-26,1,1,41,0,4.4,HYDE PARK,1
2023-03-26,1,1,43,0,4.4,SOUTH SHORE,1
2023-03-26,1,1,15,0,4.4,PORTAGE PARK,1
2023-03-26,1,1,37,0,4.4,FULLER PARK,1
2023-03-26,1,1,61,0,4.4,NEW CITY,1
2023-03-26,1,1,17,0,4.4,DUNNING,1
2023-03-26,1,1,9,0,4.4,EDISON PARK,1
2023-03-26,1,1,72,0,4.4,BEVERLY,1
2023-03-26,1,1,35,0,4.4,DOUGLAS,1
2023-03-26,1,1,4,0,4.4,LINCOLN SQUARE,1
2023-03-26,1,1,55,0,4.4,HEGEWISCH,1
2023-03-26,1,1,59,0,4.4,MCKINLEY PARK,1
2023-03-26,1,1,8,0,4.4,NEAR NORTH SIDE,1
2023-03-26,1,1,23,0,4.4,HUMBOLDT PARK,1
2023-03-26,1,1,39,0,4.4,KENWOOD,1
2023-03-26,1,1,49,0,4.4,ROSELAND,1
2023-03-26,1,1,7,0,4.4,LINCOLN PARK,1
2023-03-26,1,1,51,0,4.4,SOUTH DEERING,1
2023-03-26,1,1,69,0,4.4,GREATER GRAND CROSSING,1
2023-03-26,1,1,63,0,4.4,GAGE PARK,1
2023-03-26,1,1,77,0,4.4,EDGEWATER,1
2023-03-26,1,1,10,0,4.4,NORWOOD PARK,1
2023-03-26,1,1,50,0,4.4,PULLMAN,1
2023-03-26,1,1,45,0,4.4,AVALON PARK,1
2023-03-26,1,1,38,0,4.4,GRAND BOULEVARD,1
2023-03-26,1,1,25,0,4.4,AUSTIN,1
2023-03-26,1,1,73,0,4.4,WASHINGTON HEIGHTS,1
2023-03-26,1,1,24,0,4.4,WEST TOWN,1
2023-03-26,1,1,70,0,4.4,ASHBURN,1
2023-03-26,1,1,62,0,4.4,WEST ELSDON,1
2023-03-26,1,1,29,0,4.4,NORTH LAWNDALE,1
2023-03-26,1,1,21,0,4.4,AVONDALE,1
2023-03-26,1,1,32,0,4.4,LOOP,1
2023-03-26,1,1,60,0,4.4,BRIDGEPORT,1
2023-03-26,1,1,75,0,4.4,MORGAN PARK,1
2023-03-26,1,1,56,0,4.4,GARFIELD RIDGE,1
2023-03-26,1,1,58,0,4.4,BRIGHTON PARK,1
2023-03-26,1,1,33,0,4.4,NEAR SOUTH SIDE,1
2023-03-26,1,1,11,0,4.4,JEFFERSON PARK,1
2023-03-26,1,1,68,0,4.4,ENGLEWOOD,1
2023-03-26,1,1,71,0,4.4,AUBURN GRESHAM,1
2023-03-26,1,1,14,0,4.4,ALBANY PARK,1
2023-03-26,1,1,42,0,4.4,WOODLAWN,1
2023-03-26,1,1,2,0,4.4,WEST RIDGE,1
2023-03-26,1,1,30,0,4.4,SOUTH LAWNDALE,1
2023-03-26,1,1,66,0,4.4,CHICAGO LAWN,1
2023-03-26,1,1,46,0,4.4,SOUTH CHICAGO,1
2023-03-26,1,1,67,0,4.4,WEST ENGLEWOOD,1
2023-03-26,1,1,18,0,4.4,MONTCLARE,1
2023-03-26,1,1,74,0,4.4,MOUNT GREENWOOD,1
2023-03-26,1,1,36,0,4.4,OAKLAND,1
2023-03-26,2,1,31,0,3.9,LOWER WEST SIDE,1
2023-03-26,2,1,65,0,3.9,WEST LAWN,1
2023-03-26,2,1,53,0,3.9,WEST PULLMAN,1
2023-03-26,2,1,34,0,3.9,ARMOUR SQUARE,1
2023-03-26,2,1,28,0,3.9,NEAR WEST SIDE,1
2023-03-26,2,1,76,0,3.9,OHARE,1
2023-03-26,2,1,27,0,3.9,EAST GARFIELD PARK,1
2023-03-26,2,1,26,0,3.9,WEST GARFIELD PARK,1
2023-03-26,2,1,44,0,3.9,CHATHAM,1
2023-03-26,2,1,12,0,3.9,FOREST GLEN,1
2023-03-26,2,1,22,0,3.9,LOGAN SQUARE,1
2023-03-26,2,1,47,0,3.9,BURNSIDE,1
2023-03-26,2,1,1,0,3.9,ROGERS PARK,1
2023-03-26,2,1,52,0,3.9,EAST SIDE,1
2023-03-26,2,1,13,0,3.9,NORTH PARK,1
2023-03-26,2,1,6,0,3.9,LAKE VIEW,1
2023-03-26,2,1,16,0,3.9,IRVING PARK,1
2023-03-26,2,1,3,0,3.9,UPTOWN,1
2023-03-26,2,1,40,0,3.9,WASHINGTON PARK,1
2023-03-26,2,1,20,0,3.9,HERMOSA,1
2023-03-26,2,1,57,0,3.9,ARCHER HEIGHTS,1
2023-03-26,2,1,54,0,3.9,RIVERDALE,1
2023-03-26,2,1,48,0,3.9,CALUMET HEIGHTS,1
2023-03-26,2,1,5,0,3.9,NORTH CENTER,1
2023-03-26,2,1,19,0,3.9,BELMONT CRAGIN,1
2023-03-26,2,1,64,0,3.9,CLEARING,1
2023-03-26,2,1,41,0,3.9,HYDE PARK,1
2023-03-26,2,1,43,0,3.9,SOUTH SHORE,1
2023-03-26,2,1,15,0,3.9,PORTAGE PARK,1
2023-03-26,2,1,37,0,3.9,FULLER PARK,1
2023-03-26,2,1,61,0,3.9,NEW CITY,1
2023-03-26,2,1,17,0,3.9,DUNNING,1
2023-03-26,2,1,9,0,3.9,EDISON PARK,1
2023-03-26,2,1,72,0,3.9,BEVERLY,1
2023-03-26,2,1,35,0,3.9,DOUGLAS,1
2023-03-26,2,1,4,0,3.9,LINCOLN SQUARE,1
2023-03-26,2,1,55,0,3.9,HEGEWISCH,1
2023-03-26,2,1,59,0,3.9,MCKINLEY PARK,1
2023-03-26,2,1,8,0,3.9,NEAR NORTH SIDE,1
2023-03-26,2,1,23,0,3.9,HUMBOLDT PARK,1
2023-03-26,2,1,39,0,3.9,KENWOOD,1
2023-03-26,2,1,49,0,3.9,ROSELAND,1
2023-03-26,2,1,7,0,3.9,LINCOLN PARK,1
2023-03-26,2,1,51,0,3.9,SOUTH DEERING,1
2023-03-26,2,1,69,0,3.9,GREATER GRAND CROSSING,1
2023-03-26,2,1,63,0,3.9,GAGE PARK,1
2023-03-26,2,1,77,0,3.9,EDGEWATER,1
2023-03-26,2,1,10,0,3.9,NORWOOD PARK,1
2023-03-26,2,1,50,0,3.9,PULLMAN,1
2023-03-26,2,1,45,0,3.9,AVALON PARK,1
2023-03-26,2,1,38,0,3.9,GRAND BOULEVARD,1
2023-03-26,2,1,25,0,3.9,AUSTIN,1
2023-03-26,2,1,73,0,3.9,WASHINGTON HEIGHTS,1
2023-03-26,2,1,24,0,3.9,WEST TOWN,1
2023-03-26,2,1,70,0,3.9,ASHBURN,1
